"","proj_url","member","proj_num","proj_title"
"1","/d7/en/projects/weathering-the-crisis-adjusting-welfare-states-in-eastern-europe-after-the-crisis-of-2008","jan-drahokoupil","A1.1","Weathering the Crisis? Adjusting Welfare States in Eastern Europe after the Crisis of 2008"
"2","/d7/en/projects/weathering-the-crisis-adjusting-welfare-states-in-eastern-europe-after-the-crisis-of-2008","dragos-adascalitei","A1.1","Weathering the Crisis? Adjusting Welfare States in Eastern Europe after the Crisis of 2008"
"3","/d7/en/projects/weathering-the-crisis-adjusting-welfare-states-in-eastern-europe-after-the-crisis-of-2008","stefan-domonkos","A1.1","Weathering the Crisis? Adjusting Welfare States in Eastern Europe after the Crisis of 2008"
"4","/d7/en/projects/determinants-of-retirement-decisions-in-europe-and-the-united-states-a-cross-national-comparison-of-institutional-firm","dirk-hofaecker","A1.2","Determinants of Retirement Decisions in Europe and the United States: A Cross-National Comparison of Institutional, Firm-level and Individual Factors"
"5","/d7/en/projects/determinants-of-retirement-decisions-in-europe-and-the-united-states-a-cross-national-comparison-of-institutional-firm","moritz-hess","A1.2","Determinants of Retirement Decisions in Europe and the United States: A Cross-National Comparison of Institutional, Firm-level and Individual Factors"
"6","/d7/en/projects/determinants-of-retirement-decisions-in-europe-and-the-united-states-a-cross-national-comparison-of-institutional-firm","stefanie-koenig","A1.2","Determinants of Retirement Decisions in Europe and the United States: A Cross-National Comparison of Institutional, Firm-level and Individual Factors"
"7","/d7/en/projects/developments-of-social-care-services-in-europe-a-cross-national-comparison-of-healthcare-to-long-term-care-and","thomas-bahle","A1.3","Developments of Social Care Services in Europe: A Cross-national Comparison of Healthcare to Long-term Care and Disability-related Services"
"8","/d7/en/projects/developments-of-social-care-services-in-europe-a-cross-national-comparison-of-healthcare-to-long-term-care-and","claus-wendt","A1.3","Developments of Social Care Services in Europe: A Cross-national Comparison of Healthcare to Long-term Care and Disability-related Services"
"9","/d7/en/projects/developments-of-social-care-services-in-europe-a-cross-national-comparison-of-healthcare-to-long-term-care-and","mareike-ariaans","A1.3","Developments of Social Care Services in Europe: A Cross-national Comparison of Healthcare to Long-term Care and Disability-related Services"
"10","/d7/en/projects/dualization-or-individualization-of-social-risks-in-crisis-ridden-europe-social-protection-through-collective-bargaining","thomas-bahle","A1.4","Dualization or Individualization of Social Risks in Crisis-ridden Europe? Social Protection through Collective Bargaining and Social Security since 2008"
"11","/d7/en/projects/dualization-or-individualization-of-social-risks-in-crisis-ridden-europe-social-protection-through-collective-bargaining","bernhard-ebbinghaus","A1.4","Dualization or Individualization of Social Risks in Crisis-ridden Europe? Social Protection through Collective Bargaining and Social Security since 2008"
"12","/d7/en/projects/retirement-at-risk-in-an-ageing-europe-employment-flexibilization-pension-marketization-and-social-inequality","bernhard-ebbinghaus","A1.5","Retirement at Risk in an Ageing Europe: Employment Flexibilization, Pension Marketization, and Social Inequality"
"13","/d7/en/projects/retirement-at-risk-in-an-ageing-europe-employment-flexibilization-pension-marketization-and-social-inequality","dirk-hofaecker","A1.5","Retirement at Risk in an Ageing Europe: Employment Flexibilization, Pension Marketization, and Social Inequality"
"14","/d7/en/projects/the-welfare-of-public-servants-in-european-comparison","franz-rothenbacher","A1.6","The Welfare of Public Servants in European Comparison"
"15","/d7/en/projects/european-gift-economies-explaining-philanthropic-giving-in-comparative-perspective","sebastian-koos","A1.7","European Gift Economies. Explaining Philanthropic Giving in Comparative Perspective"
"16","/d7/en/projects/civic-integration-through-economic-networks","henning-hillmann","A1.8","Civic Integration through Economic Networks"
"17","/d7/en/projects/crisis-corporatism-or-corporatism-in-crisis-social-concertation-and-social-pacts-in-europe","bernhard-ebbinghaus","A1.9","Crisis Corporatism or Corporatism in Crisis? Social Concertation and Social Pacts in Europe"
"18","/d7/en/projects/crisis-corporatism-or-corporatism-in-crisis-social-concertation-and-social-pacts-in-europe","j-weishaupt","A1.9","Crisis Corporatism or Corporatism in Crisis? Social Concertation and Social Pacts in Europe"
"19","/d7/en/projects/crisis-corporatism-or-corporatism-in-crisis-social-concertation-and-social-pacts-in-europe","thomas-bahle","A1.9","Crisis Corporatism or Corporatism in Crisis? Social Concertation and Social Pacts in Europe"
"20","/d7/en/projects/crisis-corporatism-or-corporatism-in-crisis-social-concertation-and-social-pacts-in-europe","benedikt-bender","A1.9","Crisis Corporatism or Corporatism in Crisis? Social Concertation and Social Pacts in Europe"
"21","/d7/en/projects/bargaining-and-exchange-in-social-networks-negotiation-outcomes-and-structural-dynamics","thomas-gautschi","A1.10","Bargaining and Exchange in Social Networks: Negotiation Outcomes and Structural Dynamics"
"22","/d7/en/projects/bargaining-and-exchange-in-social-networks-negotiation-outcomes-and-structural-dynamics","felix-bader","A1.10","Bargaining and Exchange in Social Networks: Negotiation Outcomes and Structural Dynamics"
"23","/d7/en/projects/womens-late-careers-in-europe-and-the-usa-employment-chances-and-transitions-between-care-giving-and-retirement","katja-moehring","A1.11","Women’s Late Careers in Europe and the USA—Employment Chances and Transitions Between Care-Giving and Retirement"
"24","/d7/en/projects/womens-late-careers-in-europe-and-the-usa-employment-chances-and-transitions-between-care-giving-and-retirement","mareike-ariaans","A1.11","Women’s Late Careers in Europe and the USA—Employment Chances and Transitions Between Care-Giving and Retirement"
"25","/d7/en/projects/womens-late-careers-in-europe-and-the-usa-employment-chances-and-transitions-between-care-giving-and-retirement","andreas-weiland","A1.11","Women’s Late Careers in Europe and the USA—Employment Chances and Transitions Between Care-Giving and Retirement"
"26","/d7/en/projects/origins-of-bureaucratic-organization-a-comparative-study-of-political-careers-and-elite-reproduction","philipp-brandt","A1.12","Origins of Bureaucratic Organization: A Comparative Study of Political Careers and Elite Reproduction"
"27","/d7/en/projects/effect-of-life-course-transitions-on-health-inequalities-health-consequences-of-changes-in-romantic-partnership-work-and","oliver-arranz-becker","A2.1","Effect of Life Course Transitions on Health Inequalities. Health Consequences of Changes in Romantic Partnership, Work and Employment Status Among Men and Women"
"28","/d7/en/projects/effect-of-life-course-transitions-on-health-inequalities-health-consequences-of-changes-in-romantic-partnership-work-and","christof-wolf","A2.1","Effect of Life Course Transitions on Health Inequalities. Health Consequences of Changes in Romantic Partnership, Work and Employment Status Among Men and Women"
"29","/d7/en/projects/effect-of-life-course-transitions-on-health-inequalities-health-consequences-of-changes-in-romantic-partnership-work-and","malgorzata-mikucka","A2.1","Effect of Life Course Transitions on Health Inequalities. Health Consequences of Changes in Romantic Partnership, Work and Employment Status Among Men and Women"
"30","/d7/en/projects/the-psychological-consequences-of-perceived-social-unfairness","herbert-bless","A2.2","The Psychological Consequences of Perceived Social Unfairness"
"31","/d7/en/projects/social-networks-and-the-transition-from-education-to-work","irena-kogan","A2.3","Social Networks and the Transition from Education to Work"
"32","/d7/en/projects/social-networks-and-the-transition-from-education-to-work","tobias-roth","A2.3","Social Networks and the Transition from Education to Work"
"33","/d7/en/projects/competence-acquisition-and-learning-preconditions","irena-kogan","A2.4","Competence Acquisition and Learning Preconditions"
"34","/d7/en/projects/competence-acquisition-and-learning-preconditions","cornelia-kristen","A2.4","Competence Acquisition and Learning Preconditions"
"35","/d7/en/projects/competence-acquisition-and-learning-preconditions","petra-stanat","A2.4","Competence Acquisition and Learning Preconditions"
"36","/d7/en/projects/competence-acquisition-and-learning-preconditions","susanne-rahmann","A2.4","Competence Acquisition and Learning Preconditions"
"37","/d7/en/projects/the-bologna-process-and-educational-inequality-in-higher-education","martin-neugebauer","A2.5","The Bologna Process and Educational Inequality in Higher Education"
"38","/d7/en/projects/social-networks-in-labour-markets","andrea-weber","A2.6","Social Networks in Labour Markets"
"39","/d7/en/projects/new-methods-for-job-and-occupation-classification","frauke-kreuter","A2.7","New Methods for Job and Occupation Classification"
"40","/d7/en/projects/new-methods-for-job-and-occupation-classification","malte-schierholz","A2.7","New Methods for Job and Occupation Classification"
"41","/d7/en/projects/new-methods-for-job-and-occupation-classification","knut-wenzig","A2.7","New Methods for Job and Occupation Classification"
"42","/d7/en/projects/new-methods-for-job-and-occupation-classification","antje-marlene-rosebrock","A2.7","New Methods for Job and Occupation Classification"
"43","/d7/en/projects/using-propensity-scores-for-nonresponse-adjustment-with-covariate-measurement-error","frauke-kreuter","A2.8","Using Propensity Scores for Nonresponse Adjustment with Covariate Measurement Error"
"44","/d7/en/projects/using-propensity-scores-for-nonresponse-adjustment-with-covariate-measurement-error","elizabeth-a-stuart","A2.8","Using Propensity Scores for Nonresponse Adjustment with Covariate Measurement Error"
"45","/d7/en/projects/using-propensity-scores-for-nonresponse-adjustment-with-covariate-measurement-error","sarah-brockhaus","A2.8","Using Propensity Scores for Nonresponse Adjustment with Covariate Measurement Error"
"46","/d7/en/projects/educational-and-occupational-careers-of-tertiary-education-drop-outs","nicole-tieben","A2.9","Educational and Occupational Careers of Tertiary Education Drop-outs"
"47","/d7/en/projects/educational-and-occupational-careers-of-tertiary-education-drop-outs","mirte-scholten","A2.9","Educational and Occupational Careers of Tertiary Education Drop-outs"
"48","/d7/en/projects/a-sociocultural-motives-perspective-on-self-concept-and-personality","jochen-gebauer","A2.10","A Sociocultural Motives Perspective on Self-Concept and Personality"
